delivery_start;market_index_price
2024-10-12 22:00:00+00:00;0.0
2024-10-12 23:00:00+00:00;0.01
2024-10-13 00:00:00+00:00;0.07
2024-10-13 01:00:00+00:00;0.37
2024-10-13 02:00:00+00:00;0.51
2024-10-13 03:00:00+00:00;0.09
2024-10-13 04:00:00+00:00;0.3
2024-10-13 05:00:00+00:00;0.04
2024-10-13 06:00:00+00:00;0.07
2024-10-13 07:00:00+00:00;0.86
2024-10-13 08:00:00+00:00;0.64
2024-10-13 09:00:00+00:00;1.97
2024-10-13 10:00:00+00:00;7.49
2024-10-13 11:00:00+00:00;-15.16
2024-10-13 12:00:00+00:00;15.69
2024-10-13 13:00:00+00:00;5.01
2024-10-13 14:00:00+00:00;1.99
2024-10-13 15:00:00+00:00;0.06
2024-10-13 16:00:00+00:00;35.83
2024-10-13 17:00:00+00:00;54.05
2024-10-13 18:00:00+00:00;39.51
2024-10-13 19:00:00+00:00;38.43
2024-10-13 20:00:00+00:00;40.13
2024-10-13 21:00:00+00:00;36.81
